pagecounts-20130501-000000.gz, size 87M
pagecounts-20130501-010000.gz, size 83M
pagecounts-20130501-020000.gz, size 83M
pagecounts-20130501-030000.gz, size 81M
pagecounts-20130501-040000.gz, size 78M
pagecounts-20130501-050000.gz, size 77M
pagecounts-20130501-060000.gz, size 76M
pagecounts-20130501-070000.gz, size 82M
pagecounts-20130501-080000.gz, size 86M
pagecounts-20130501-090000.gz, size 89M
pagecounts-20130501-100000.gz, size 92M
pagecounts-20130501-110000.gz, size 93M
pagecounts-20130501-120000.gz, size 95M
pagecounts-20130501-130000.gz, size 96M
pagecounts-20130501-140000.gz, size 100M
pagecounts-20130501-150000.gz, size 103M
pagecounts-20130501-160000.gz, size 103M
pagecounts-20130501-170000.gz, size 103M
pagecounts-20130501-180000.gz, size 103M
pagecounts-20130501-190000.gz, size 101M
pagecounts-20130501-200000.gz, size 98M
pagecounts-20130501-210000.gz, size 94M
pagecounts-20130501-220000.gz, size 88M
pagecounts-20130501-230000.gz, size 83M
pagecounts-20130502-000000.gz, size 81M
pagecounts-20130502-010000.gz, size 79M
pagecounts-20130502-020000.gz, size 79M
pagecounts-20130502-030000.gz, size 78M
pagecounts-20130502-040000.gz, size 79M
pagecounts-20130502-050000.gz, size 82M
pagecounts-20130502-060000.gz, size 83M
pagecounts-20130502-070000.gz, size 87M
pagecounts-20130502-080000.gz, size 91M
pagecounts-20130502-090000.gz, size 97M
pagecounts-20130502-100000.gz, size 96M
pagecounts-20130502-110000.gz, size 96M
pagecounts-20130502-120000.gz, size 98M
pagecounts-20130502-130000.gz, size 102M
pagecounts-20130502-140000.gz, size 106M
pagecounts-20130502-150000.gz, size 107M
pagecounts-20130502-160000.gz, size 106M
pagecounts-20130502-170000.gz, size 103M
pagecounts-20130502-180000.gz, size 104M
pagecounts-20130502-190000.gz, size 103M
pagecounts-20130502-200000.gz, size 97M
pagecounts-20130502-210000.gz, size 97M
pagecounts-20130502-220000.gz, size 91M
pagecounts-20130502-230000.gz, size 85M
pagecounts-20130503-000000.gz, size 87M
pagecounts-20130503-010000.gz, size 82M
pagecounts-20130503-020000.gz, size 84M
pagecounts-20130503-030000.gz, size 84M
pagecounts-20130503-040000.gz, size 82M
pagecounts-20130503-050000.gz, size 85M
pagecounts-20130503-060000.gz, size 85M
pagecounts-20130503-070000.gz, size 90M
pagecounts-20130503-080000.gz, size 98M
pagecounts-20130503-090000.gz, size 101M
pagecounts-20130503-100000.gz, size 101M
pagecounts-20130503-110000.gz, size 99M
pagecounts-20130503-120000.gz, size 96M
pagecounts-20130503-130000.gz, size 99M
pagecounts-20130503-140000.gz, size 99M
pagecounts-20130503-150000.gz, size 95M
pagecounts-20130503-160000.gz, size 101M
pagecounts-20130503-170000.gz, size 100M
pagecounts-20130503-180000.gz, size 96M
pagecounts-20130503-190000.gz, size 96M
pagecounts-20130503-200000.gz, size 94M
pagecounts-20130503-210000.gz, size 90M
pagecounts-20130503-220000.gz, size 87M
pagecounts-20130503-230000.gz, size 82M
pagecounts-20130504-000000.gz, size 83M
pagecounts-20130504-010000.gz, size 79M
pagecounts-20130504-020000.gz, size 80M
pagecounts-20130504-030000.gz, size 80M
pagecounts-20130504-040000.gz, size 81M
pagecounts-20130504-050000.gz, size 82M
pagecounts-20130504-060000.gz, size 84M
pagecounts-20130504-070001.gz, size 87M
pagecounts-20130504-080000.gz, size 91M
pagecounts-20130504-090000.gz, size 95M
pagecounts-20130504-100000.gz, size 95M
pagecounts-20130504-110000.gz, size 94M
pagecounts-20130504-120000.gz, size 94M
pagecounts-20130504-130000.gz, size 97M
pagecounts-20130504-140000.gz, size 97M
pagecounts-20130504-150000.gz, size 97M
pagecounts-20130504-160000.gz, size 102M
pagecounts-20130504-170000.gz, size 102M
pagecounts-20130504-180000.gz, size 102M
pagecounts-20130504-190000.gz, size 99M
pagecounts-20130504-200000.gz, size 98M
pagecounts-20130504-210000.gz, size 94M
pagecounts-20130504-220000.gz, size 89M
pagecounts-20130504-230000.gz, size 86M
pagecounts-20130505-000000.gz, size 81M
pagecounts-20130505-010000.gz, size 75M
pagecounts-20130505-020000.gz, size 72M
pagecounts-20130505-030000.gz, size 73M
pagecounts-20130505-040000.gz, size 75M
pagecounts-20130505-050000.gz, size 77M
pagecounts-20130505-060000.gz, size 84M
pagecounts-20130505-070000.gz, size 82M
pagecounts-20130505-080000.gz, size 82M
pagecounts-20130505-090000.gz, size 88M
pagecounts-20130505-100000.gz, size 93M
pagecounts-20130505-110000.gz, size 95M
pagecounts-20130505-120000.gz, size 95M
pagecounts-20130505-130000.gz, size 99M
pagecounts-20130505-140000.gz, size 101M
pagecounts-20130505-150000.gz, size 105M
pagecounts-20130505-160000.gz, size 103M
pagecounts-20130505-170000.gz, size 105M
pagecounts-20130505-180000.gz, size 99M
pagecounts-20130505-190000.gz, size 104M
pagecounts-20130505-200000.gz, size 99M
pagecounts-20130505-210000.gz, size 96M
pagecounts-20130505-220000.gz, size 91M
pagecounts-20130505-230000.gz, size 86M
pagecounts-20130506-000000.gz, size 91M
pagecounts-20130506-010000.gz, size 89M
pagecounts-20130506-020000.gz, size 88M
pagecounts-20130506-030000.gz, size 85M
pagecounts-20130506-040000.gz, size 88M
pagecounts-20130506-050000.gz, size 87M
pagecounts-20130506-060000.gz, size 89M
pagecounts-20130506-070000.gz, size 93M
pagecounts-20130506-080000.gz, size 88M
pagecounts-20130506-090000.gz, size 91M
pagecounts-20130506-100000.gz, size 93M
pagecounts-20130506-110000.gz, size 92M
pagecounts-20130506-120000.gz, size 96M
pagecounts-20130506-130000.gz, size 101M
pagecounts-20130506-140000.gz, size 103M
pagecounts-20130506-150000.gz, size 104M
pagecounts-20130506-160000.gz, size 101M
pagecounts-20130506-170000.gz, size 100M
pagecounts-20130506-180000.gz, size 102M
pagecounts-20130506-190000.gz, size 100M
pagecounts-20130506-200000.gz, size 96M
pagecounts-20130506-210000.gz, size 95M
pagecounts-20130506-220004.gz, size 90M
pagecounts-20130506-230000.gz, size 84M
pagecounts-20130507-000000.gz, size 77M
pagecounts-20130507-010000.gz, size 73M
pagecounts-20130507-020000.gz, size 81M
pagecounts-20130507-030000.gz, size 77M
pagecounts-20130507-040000.gz, size 81M
pagecounts-20130507-050000.gz, size 81M
pagecounts-20130507-060000.gz, size 82M
pagecounts-20130507-070000.gz, size 89M
pagecounts-20130507-080000.gz, size 88M
pagecounts-20130507-090000.gz, size 92M
pagecounts-20130507-100000.gz, size 97M
pagecounts-20130507-110000.gz, size 101M
pagecounts-20130507-120000.gz, size 98M
pagecounts-20130507-130000.gz, size 105M
pagecounts-20130507-140000.gz, size 103M
pagecounts-20130507-150000.gz, size 105M
pagecounts-20130507-160000.gz, size 100M
pagecounts-20130507-170000.gz, size 101M
pagecounts-20130507-180000.gz, size 97M
pagecounts-20130507-190000.gz, size 102M
pagecounts-20130507-200000.gz, size 103M
pagecounts-20130507-210000.gz, size 96M
pagecounts-20130507-220000.gz, size 89M
pagecounts-20130507-230000.gz, size 82M
pagecounts-20130508-000000.gz, size 81M
pagecounts-20130508-010000.gz, size 75M
pagecounts-20130508-020000.gz, size 73M
pagecounts-20130508-030000.gz, size 69M
pagecounts-20130508-040000.gz, size 71M
pagecounts-20130508-050000.gz, size 77M
pagecounts-20130508-060000.gz, size 79M
pagecounts-20130508-070000.gz, size 81M
pagecounts-20130508-080000.gz, size 84M
pagecounts-20130508-090000.gz, size 86M
pagecounts-20130508-100000.gz, size 93M
pagecounts-20130508-110000.gz, size 94M
pagecounts-20130508-120000.gz, size 92M
pagecounts-20130508-130000.gz, size 96M
pagecounts-20130508-140000.gz, size 85M
pagecounts-20130508-150000.gz, size 103M
pagecounts-20130508-160000.gz, size 99M
pagecounts-20130508-170000.gz, size 96M
pagecounts-20130508-180000.gz, size 94M
pagecounts-20130508-190000.gz, size 98M
pagecounts-20130508-200000.gz, size 95M
pagecounts-20130508-210000.gz, size 91M
pagecounts-20130508-220000.gz, size 92M
pagecounts-20130508-230000.gz, size 83M
pagecounts-20130509-000000.gz, size 80M
pagecounts-20130509-010000.gz, size 76M
pagecounts-20130509-020000.gz, size 77M
pagecounts-20130509-030000.gz, size 78M
pagecounts-20130509-040000.gz, size 78M
pagecounts-20130509-050000.gz, size 74M
pagecounts-20130509-060000.gz, size 78M
pagecounts-20130509-070000.gz, size 83M
pagecounts-20130509-080000.gz, size 85M
pagecounts-20130509-090000.gz, size 91M
pagecounts-20130509-100000.gz, size 93M
pagecounts-20130509-110000.gz, size 96M
pagecounts-20130509-120000.gz, size 95M
pagecounts-20130509-130000.gz, size 99M
pagecounts-20130509-140000.gz, size 102M
pagecounts-20130509-150000.gz, size 101M
pagecounts-20130509-160000.gz, size 100M
pagecounts-20130509-170000.gz, size 102M
pagecounts-20130509-180000.gz, size 97M
pagecounts-20130509-190000.gz, size 101M
pagecounts-20130509-200000.gz, size 96M
pagecounts-20130509-210000.gz, size 93M
pagecounts-20130509-220000.gz, size 86M
pagecounts-20130509-230000.gz, size 81M
pagecounts-20130510-000000.gz, size 75M
pagecounts-20130510-010000.gz, size 70M
pagecounts-20130510-020000.gz, size 72M
pagecounts-20130510-030000.gz, size 69M
pagecounts-20130510-040000.gz, size 69M
pagecounts-20130510-050000.gz, size 71M
pagecounts-20130510-060000.gz, size 72M
pagecounts-20130510-070000.gz, size 82M
pagecounts-20130510-080000.gz, size 83M
pagecounts-20130510-090000.gz, size 86M
pagecounts-20130510-100000.gz, size 90M
pagecounts-20130510-110000.gz, size 86M
pagecounts-20130510-120000.gz, size 89M
pagecounts-20130510-130000.gz, size 96M
pagecounts-20130510-140000.gz, size 98M
pagecounts-20130510-150000.gz, size 96M
pagecounts-20130510-160000.gz, size 94M
pagecounts-20130510-170000.gz, size 96M
pagecounts-20130510-180000.gz, size 94M
pagecounts-20130510-190000.gz, size 96M
pagecounts-20130510-200000.gz, size 96M
pagecounts-20130510-210000.gz, size 92M
pagecounts-20130510-220000.gz, size 89M
pagecounts-20130510-230000.gz, size 83M
pagecounts-20130511-000000.gz, size 82M
pagecounts-20130511-010000.gz, size 77M
pagecounts-20130511-020000.gz, size 77M
pagecounts-20130511-030000.gz, size 76M
pagecounts-20130511-040000.gz, size 77M
pagecounts-20130511-050000.gz, size 78M
pagecounts-20130511-060000.gz, size 80M
pagecounts-20130511-070000.gz, size 80M
pagecounts-20130511-080000.gz, size 86M
pagecounts-20130511-090001.gz, size 87M
pagecounts-20130511-100000.gz, size 92M
pagecounts-20130511-110000.gz, size 91M
pagecounts-20130511-120000.gz, size 91M
pagecounts-20130511-130000.gz, size 97M
pagecounts-20130511-140000.gz, size 95M
pagecounts-20130511-150001.gz, size 97M
pagecounts-20130511-160000.gz, size 96M
pagecounts-20130511-170000.gz, size 96M
pagecounts-20130511-180000.gz, size 95M
pagecounts-20130511-190000.gz, size 92M
pagecounts-20130511-200000.gz, size 92M
pagecounts-20130511-210000.gz, size 90M
pagecounts-20130511-220000.gz, size 87M
pagecounts-20130511-230000.gz, size 84M
pagecounts-20130512-000000.gz, size 78M
pagecounts-20130512-010000.gz, size 76M
pagecounts-20130512-020000.gz, size 75M
pagecounts-20130512-030000.gz, size 72M
pagecounts-20130512-040000.gz, size 73M
pagecounts-20130512-050000.gz, size 70M
pagecounts-20130512-060000.gz, size 74M
pagecounts-20130512-070000.gz, size 76M
pagecounts-20130512-080000.gz, size 79M
pagecounts-20130512-090000.gz, size 81M
pagecounts-20130512-100000.gz, size 90M
pagecounts-20130512-110000.gz, size 90M
pagecounts-20130512-120000.gz, size 91M
pagecounts-20130512-130000.gz, size 91M
pagecounts-20130512-140000.gz, size 95M
pagecounts-20130512-150000.gz, size 98M
pagecounts-20130512-160000.gz, size 100M
pagecounts-20130512-170001.gz, size 98M
pagecounts-20130512-180000.gz, size 99M
